Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,DiffX5,DiffY5
164,-264.509,1834.66,292.681,3148.56,171.125,4149.16,55.4141,5213.08,-57.678,6347.19,-277.733,7348.69,7613.199,-2112.393
165,-265.494,1844.12,293.013,3148.72,171.203,4149.22,55.4577,5213.11,-58.0577,6347.27,-277.847,7348.91,7614.404,-2121.967
166,-267.453,1854.19,293.021,3148.57,171.128,4149.18,55.4195,5213.15,-56.6135,6347.07,-277.899,7348.88,7616.333,-2132.089
167,-268.745,1864.17,292.653,3149.06,171.217,4149.19,55.3958,5213.03,-57.1212,6347.19,-277.726,7348.75,7617.495,-2141.896
168,-270.016,1870.34,292.741,3148.71,171.171,4149.24,55.1887,5213.68,-57.2455,6347.26,-277.604,7348.75,7618.766,-2147.944
169,-270.648,1881.09,292.997,3148.46,171.075,4149.18,55.6234,5213.28,-58.5298,6347.28,-277.96,7348.91,7619.558,-2159.05
170,-272.249,1891.08,293.061,3148.53,171.208,4149.15,55.8632,5213.35,-58.3871,6347.26,-277.93,7348.81,7621.059,-2169.01
171,-273.541,1901.35,292.797,3148.65,171.209,4149.19,55.9114,5213.35,-57.5258,6347.25,-277.733,7348.81,7622.351,-2179.083
172,-275.139,1910.84,292.959,3148.63,171.135,4149.23,55.0265,5213.6,-58.2035,6347.25,-277.937,7348.87,7624.009,-2188.777
173,-276.697,1920.48,293.035,3148.63,171.105,4149.21,55.1064,5213.68,-56.6158,6347.14,-277.815,7348.83,7625.527,-2198.295
174,-278.079,1930.47,292.617,3149.03,171.191,4149.25,55.2082,5213.69,-57.8309,6346.69,-277.607,7348.8,7626.879,-2208.077
175,-279.246,1940.12,292.469,3148.93,171.119,4149.25,55.0381,5213.54,-57.4628,6347.21,-277.858,7348.94,7628.186,-2217.978
176,-280.96,1949.74,292.555,3148.94,171.116,4149.17,55.0481,5213.55,-56.5641,6347.04,-277.857,7348.76,7629.72,-2227.597
177,-282.276,1959.72,293.101,3148.69,171.233,4149.15,55.1518,5213.59,-57.8292,6347.19,-277.495,7348.84,7631.116,-2237.215
178,-284.028,1969.93,292.679,3148.71,171.117,4149.22,55.7672,5213.42,-57.4247,6347.24,-277.842,7348.92,7632.948,-2247.772
