Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
91,-153.94,1108.62,293.131,3148.62,170.168,4148.07,55.4658,5213.13,-58.0455,6347.23,-277.851,7348.79,2.04,3.03945,4.10451,5.23861,6.24017,0.3,0.3,0.3,0.3,0.3
92,-154.601,1117.22,292.863,3148.87,170.239,4148.15,55.5556,5213.27,-57.2083,6347.38,-277.554,7348.82,2.03165,3.03093,4.09605,5.23016,6.2316,0.3,0.3,0.3,0.3,0.3
93,-155.868,1127.56,292.491,3148.86,170.118,4148.04,55.2813,5212.98,-58.315,6347.09,-277.419,7348.83,2.0213,3.02048,4.08542,5.21953,6.22127,0.3,0.3,0.3,0.3,0.3
94,-157.796,1138.85,293.017,3148.45,170.145,4148.02,55.3148,5212.89,-58.3361,6347.13,-278.061,7348.82,2.0096,3.00917,4.07404,5.20828,6.20997,0.3,0.3,0.3,0.3,0.3
95,-159.361,1148.38,293.07,3148.8,170.188,4148.13,55.5893,5213.27,-58.0595,6347.36,-277.385,7348.87,2.00042,2.99975,4.06489,5.19898,6.20049,0.3,0.3,0.3,0.3,0.3
96,-160.985,1158.89,292.742,3148.78,170.236,4148.17,55.4526,5213.11,-57.2726,6347.31,-277.716,7349.01,1.98989,2.98928,4.05422,5.18842,6.19012,0.3,0.3,0.3,0.3,0.3
97,-162.914,1167.81,292.944,3148.61,170.041,4148.11,55.3343,5213.1,-58.2747,6347.32,-277.845,7348.79,1.9808,2.9803,4.04529,5.17951,6.18098,0.3,0.3,0.3,0.3,0.3
98,-164.06,1177.79,293.111,3148.65,170.156,4148.05,55.4886,5213.15,-58.1011,6347.24,-277.343,7348.67,1.97086,2.97026,4.03536,5.16945,6.17088,0.3,0.3,0.3,0.3,0.3
99,-165.576,1187.77,292.746,3148.58,170.248,4148.09,55.4267,5213.08,-57.5272,6347.18,-277.725,7348.88,1.96081,2.96032,4.02531,5.15941,6.16111,0.3,0.3,0.3,0.3,0.3
100,-167.207,1197.36,292.418,3148.94,170.055,4148.12,55.2425,5213.03,-57.5199,6347.23,-277.871,7348.89,1.95158,2.95076,4.01567,5.14987,6.15153,0.3,0.3,0.3,0.3,0.3
101,-168.827,1207.96,293.114,3148.61,170.168,4148.01,55.5214,5213.14,-59.8296,6347.48,-277.845,7348.6,1.94065,2.94005,4.00518,5.13952,6.14064,0.3,0.3,0.3,0.3,0.3
102,-170.13,1217.72,292.971,3148.77,170.179,4148.17,55.4963,5213.17,-59.541,6347.23,-277.659,7348.79,1.93105,2.93045,3.99545,5.12951,6.13107,0.3,0.3,0.3,0.3,0.3
103,-171.887,1227.85,292.487,3149.06,170.137,4148.23,55.432,5213.21,-57.263,6347.36,-277.78,7349.12,1.92121,2.92038,3.98536,5.11951,6.12127,0.3,0.3,0.3,0.3,0.3
104,-172.528,1234.88,292.657,3148.98,170.223,4148.02,55.494,5213.03,-58.312,6347.38,-277.961,7348.87,1.9141,2.91314,3.97815,5.1125,6.11399,0.3,0.3,0.3,0.3,0.3
105,-175.2,1246.85,292.997,3148.58,170.103,4148,55.3921,5213.13,-58.299,6347.24,-277.864,7348.69,1.90173,2.90115,3.96628,5.10039,6.10184,0.3,0.3,0.3,0.3,0.3
106,-176.073,1257.42,292.718,3148.58,170.248,4148.18,55.4521,5213.12,-57.6532,6347.25,-277.689,7348.98,1.89116,2.89076,3.9557,5.08983,6.09156,0.3,0.3,0.3,0.3,0.3
107,-177.982,1267.14,292.964,3148.71,170.146,4148.1,55.4402,5213.06,-58.1769,6347.29,-277.817,7348.93,1.88157,2.88096,3.94592,5.08015,6.08179,0.3,0.3,0.3,0.3,0.3
108,-178.78,1276.56,293.043,3148.57,170.031,4148.03,55.3884,5213.19,-58.3174,6347.3,-277.585,7348.78,1.87201,2.87147,3.93663,5.07074,6.07222,0.3,0.3,0.3,0.3,0.3
109,-179.576,1287.9,292.664,3149.08,170.271,4148.18,55.5798,5213.14,-57.0115,6347.22,-277.547,7348.79,1.86118,2.86028,3.92524,5.05932,6.06089,0.3,0.3,0.3,0.3,0.3
110,-181.49,1296.95,292.508,3148.99,170.145,4148.15,55.3218,5213.06,-57.2413,6347.28,-277.828,7349,1.85204,2.8512,3.91611,5.05033,6.05205,0.3,0.3,0.3,0.3,0.3
111,-184.094,1307.86,293.041,3148.51,170.087,4148.02,55.322,5213.05,-56.4052,6346.92,-277.992,7348.66,1.84065,2.84016,3.90519,5.03906,6.0408,0.3,0.3,0.3,0.3,0.3
112,-185.42,1317,292.979,3148.67,170.18,4148.04,55.5115,5213.14,-57.0659,6347.12,-277.614,7348.95,1.83167,2.83104,3.89614,5.03012,6.03195,0.3,0.3,0.3,0.3,0.3
113,-186.692,1325.55,292.647,3148.66,170.11,4148.18,55.4792,5213.18,-57.5505,6347.46,-277.711,7349.15,1.82311,2.82263,3.88763,5.02191,6.0236,0.3,0.3,0.3,0.3,0.3
114,-188.39,1337.5,292.989,3148.62,170.156,4148.08,55.2908,5212.99,-58.1937,6347.23,-277.881,7348.89,1.81112,2.81058,3.87549,5.00973,6.01139,0.3,0.3,0.3,0.3,0.3
115,-189.634,1347.57,293.111,3148.62,170.099,4148.01,55.4371,5213.11,-58.1523,6347.21,-277.5,7348.72,1.80105,2.80044,3.86554,4.99964,6.00115,0.3,0.3,0.3,0.3,0.3
116,-191.237,1357.58,293.035,3148.7,170.266,4148.12,55.6373,5213.18,-57.2552,6347.28,-277.607,7348.87,1.79112,2.79054,3.8556,4.9897,5.99129,0.3,0.3,0.3,0.3,0.3
117,-192.102,1367.51,293.019,3148.62,170.224,4148.13,55.4368,5213.08,-58.1683,6347.28,-277.932,7349.1,1.78111,2.78062,3.84557,4.97977,5.98159,0.3,0.3,0.3,0.3,0.3
118,-194.681,1378.17,292.999,3148.51,171.641,4149.85,55.3466,5213.01,-58.4928,6347.24,-278.018,7348.59,1.77034,2.77168,3.83484,4.96907,5.97042,0.3,0.3,0.3,0.3,0.3
119,-195.869,1387.18,292.665,3149.03,171.216,4149.17,55.4983,5213.15,-57.3515,6347.19,-277.566,7348.95,1.76185,2.76199,3.82597,4.96001,5.96177,0.3,0.3,0.3,0.3,0.3
120,-197.46,1397.61,292.7,3148.74,171.218,4149.39,55.3852,5213.19,-57.5811,6347.42,-277.595,7349.07,1.75113,2.75178,3.81558,4.94981,5.95146,0.3,0.3,0.3,0.3,0.3
121,-198.703,1407.57,293.039,3148.53,171.117,4149.18,55.3715,5213.1,-58.2828,6347.25,-277.882,7348.83,1.74096,2.74161,3.80553,4.93968,5.94126,0.3,0.3,0.3,0.3,0.3
122,-199.642,1417.87,293.048,3148.55,171.141,4149.09,55.3918,5213.04,-58.1574,6347.09,-278.016,7348.65,1.73068,2.73122,3.79517,4.92922,5.93078,0.3,0.3,0.3,0.3,0.3
123,-201.394,1428.15,292.677,3148.67,171.133,4149.26,55.4502,5213.2,-57.4046,6347.33,-277.63,7348.89,1.72052,2.72111,3.78505,4.91918,5.92074,0.3,0.3,0.3,0.3,0.3
124,-203.508,1438.17,292.984,3148.65,171.241,4149.29,55.4399,5213.11,-58.2378,6347.34,-277.653,7349,1.71048,2.71112,3.77494,4.90917,5.91083,0.3,0.3,0.3,0.3,0.3
125,-204.744,1446.07,293.088,3148.51,171.087,4149.1,55.423,5213,-58.3225,6347.2,-277.989,7348.66,1.70244,2.70303,3.76693,4.90113,5.90259,0.3,0.3,0.3,0.3,0.3
126,-206.659,1457.69,292.761,3148.64,171.161,4149.21,55.4612,5213.17,-57.6337,6347.23,-277.813,7348.79,1.69095,2.69152,3.75548,4.88954,5.8911,0.3,0.3,0.3,0.3,0.3
