Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
89,-92.2105,1065.02,285.248,3290.75,144.54,4302.1,46.7058,5192.33,-434.45,6348.08,-1231.36,7182.92,2.22573,3.23708,4.12731,5.28306,6.1179,0.4,0.4,0.4,0,-0.4
90,-93.1285,1074.75,285.228,3291.08,144.609,4302.13,45.8915,5191.96,-434.403,6348.39,-1231.15,7183.23,2.21633,3.22738,4.11721,5.27364,6.10848,0.4,0.4,0.4,0,-0.4
91,-93.6072,1085.33,285.079,3290.95,144.502,4302.27,45.7733,5192.04,-434.445,6348.51,-1231.04,7183.44,2.20562,3.21694,4.10671,5.26318,6.09811,0.4,0.4,0.4,0,-0.4
92,-93.3051,1092.26,285.042,3290.73,143.771,4301.94,46.5329,5192.4,-434.522,6348.31,-1231.26,7183.16,2.19847,3.20968,4.10014,5.25605,6.0909,0.4,0.4,0.4,0,-0.4
93,-94.6479,1104.94,285.036,3290.42,143.949,4301.81,46.6274,5192.36,-434.529,6348.26,-1231.06,7182.47,2.18548,3.19687,4.08742,5.24332,6.07753,0.4,0.4,0.4,0,-0.4
94,-95.1998,1115.62,285.207,3291.28,144.535,4302.18,46.1059,5191.84,-434.349,6348.18,-1230.94,7182.97,2.17566,3.18656,4.07622,5.23256,6.06735,0.4,0.4,0.4,0,-0.4
95,-95.8362,1125.52,284.986,3290.92,144.52,4302.22,46.5157,5192.49,-434.494,6348.41,-1231.16,7183.31,2.1654,3.1767,4.06697,5.22289,6.05779,0.4,0.4,0.4,0,-0.4
96,-96.4796,1134.96,285.114,3291.19,144.517,4302.12,46.6801,5192.47,-434.481,6348.31,-1231.1,7182.85,2.15623,3.16716,4.05751,5.21335,6.04789,0.4,0.4,0.4,0,-0.4
97,-96.462,1145.73,285.209,3291.16,144.605,4302.15,45.8851,5191.99,-434.406,6348.27,-1231.09,7182.96,2.14543,3.15642,4.04626,5.20254,6.03723,0.4,0.4,0.4,0,-0.4
98,-97.0959,1155.31,284.957,3290.94,144.538,4302.22,47.6178,5194.45,-434.515,6348.52,-1230.92,7183.22,2.13563,3.14691,4.03914,5.19321,6.02791,0.4,0.4,0.4,0,-0.4
99,-97.4719,1165.89,285.277,3290.72,144.46,4302.19,47.6178,5193.55,-434.37,6348.26,-1230.73,7183.11,2.12483,3.1363,4.02766,5.18237,6.01722,0.4,0.4,0.4,0,-0.4
100,-99.2031,1176.42,285.103,3291.12,144.491,4302.03,47.2834,5193.32,-434.498,6348.17,-1231.09,7182.61,2.1147,3.12561,4.0169,5.17175,6.00619,0.4,0.4,0.4,0,-0.4
101,-99.5542,1186.28,285.015,3290.95,144.556,4302.1,47.1657,5193.41,-434.536,6348.25,-1231.21,7182.93,2.10467,3.11582,4.00713,5.16197,5.99665,0.4,0.4,0.4,0,-0.4
102,-100.117,1197.43,285.112,3291.13,143.583,4302.05,47.5695,5193.63,-434.368,6348.46,-1230.82,7183.43,2.0937,3.10462,3.9962,5.15103,5.986,0.4,0.4,0.4,0,-0.4
103,-100.587,1206.98,285.027,3291.08,143.805,4301.55,47.2406,5193.48,-434.551,6348.39,-1231.08,7182.71,2.0841,3.09457,3.9865,5.14141,5.97573,0.4,0.4,0.4,0,-0.4
104,-100.272,1215.65,285.302,3290.79,143.821,4301.53,47.2833,5193.25,-434.441,6348.11,-1231.29,7182.7,2.07514,3.08588,3.9776,5.13246,5.96705,0.4,0.4,0.4,0,-0.4
105,-99.935,1222.96,285.223,3290.98,144.693,4301.97,47.9743,5194.5,-434.315,6348.49,-1230.72,7183.43,2.06802,3.07901,3.97154,5.12553,5.96047,0.4,0.4,0.4,0,-0.4
106,-103.214,1236.75,285.043,3291.02,144.579,4301.86,47.3517,5193.58,-434.488,6348.38,-1231.12,7183.28,2.05427,3.06511,3.95683,5.11163,5.94653,0.4,0.4,0.4,0,-0.4
107,-103.837,1245.96,285.097,3291.06,143.853,4301.49,47.1424,5193.23,-434.547,6348.08,-1231.32,7182.58,2.0451,3.05553,3.94727,5.10212,5.93662,0.4,0.4,0.4,0,-0.4
108,-104.533,1256.77,285.044,3291.24,144.592,4301.86,47.3905,5193.63,-434.484,6348.5,-1230.7,7182.87,2.03447,3.04509,3.93686,5.09173,5.9261,0.4,0.4,0.4,0,-0.4
109,-105.16,1266.64,285.145,3290.9,144.556,4301.91,47.5975,5193.63,-434.379,6348.37,-1230.86,7183.35,2.02426,3.03527,3.92699,5.08173,5.91671,0.4,0.4,0.4,0,-0.4
110,-105.786,1276.14,285.176,3290.72,144.526,4301.77,47.347,5193.46,-434.497,6348.23,-1231.44,7183.24,2.01458,3.02563,3.91732,5.07209,5.9071,0.4,0.4,0.4,0,-0.4
111,-106.445,1285.96,285.149,3291.07,144.608,4301.74,47.2627,5193.33,-434.486,6348.25,-1231.17,7182.71,2.00511,3.01578,3.90737,5.06229,5.89675,0.4,0.4,0.4,0,-0.4
